qid,doc_id,query,relevance,bm25_score,tfidf_cosine,query_term_coverage,title_match_score,body_match_score,doc_length,doc_pagerank,doc_freshness_days,avg_click_rate,query_length,query_idf_sum,is_navigational,doc_freshness_score
q0000,d0000_0000,machine learning tutorial,3,-2.7851790500282307,0.669685165760018,0.0,0.6305262767964357,0.48677602362776257,244,0.3352181533989041,217,0.4066030697561216,3,20.479120971119265,0,0.627147766323024
q0000,d0000_0001,machine learning tutorial,3,-2.7851790500282307,0.669685165760018,0.0,0.7152444796266347,0.6421826394640401,444,0.4117881861061602,367,0.3845470517931198,3,20.479120971119265,0,0.4986338797814207
q0000,d0000_0002,machine learning tutorial,3,-2.7851790500282307,0.669685165760018,0.0,0.753380104882689,0.48248745079208377,378,0.6542453137080626,47,0.4615979422575496,3,20.479120971119265,0,0.8859223300970873
q0000,d0000_0003,machine learning tutorial,0,-2.7851790500282307,0.669685165760018,0.0,0.6491573730252498,0.6435973072428978,300,0.6771689939325862,224,0.0218688596729012,3,20.479120971119265,0,0.6196943972835314
q0000,d0000_0004,machine learning tutorial,2,-2.7851790500282307,0.669685165760018,0.0,0.7408364583698054,0.6269992136553605,404,0.3420198508004139,79,0.2391524415439982,3,20.479120971119265,0,0.8220720720720721
q0000,d0000_0005,machine learning tutorial,1,-2.7851790500282307,0.669685165760018,0.0,0.7192408488766084,0.41160543318214227,713,0.3962620994803955,8,0.0870981540668766,3,20.479120971119265,0,0.9785522788203754
q0000,d0000_0006,machine learning tutorial,1,-2.7851790500282307,0.669685165760018,0.0,0.5592536147939322,0.6220692919505465,707,1.1654714429221882,150,0.195892372730067,3,20.479120971119265,0,0.7087378640776699
q0000,d0000_0007,machine learning tutorial,2,-2.7851790500282307,0.669685165760018,0.0,0.7806238704073504,0.5484656243017353,359,0.6674796672956687,37,0.311319784269661,3,20.479120971119265,0,0.9079601990049752
q0000,d0000_0008,machine learning tutorial,1,-2.7851790500282307,0.669685165760018,0.0,0.5645198848438082,0.43354739415575294,200,0.6044249686801718,616,0.0955170779293943,3,20.479120971119265,0,0.3720693170234454
q0000,d0000_0009,machine learning tutorial,3,-2.7851790500282307,0.669685165760018,0.0,0.7844833516948773,0.6570317809250413,752,0.3939494975052415,62,0.4237735602332278,3,20.479120971119265,0,0.8548009367681499
q0000,d0000_0010,machine learning tutorial,1,-2.7851790500282307,0.669685165760018,0.0,0.6969630591883683,0.4346191860826087,428,0.1618817984468932,79,0.1553330017305098,3,20.479120971119265,0,0.8220720720720721
q0000,d0000_0011,machine learning tutorial,1,-2.7851790500282307,0.669685165760018,0.0,0.7211569484943107,0.4412324165732515,383,0.9382004316490136,328,0.1111110636234559,3,20.479120971119265,0,0.5266955266955268
q0000,d0000_0012,machine learning tutorial,2,-2.7851790500282307,0.669685165760018,0.0,0.5662475315409733,0.5064785582940723,203,0.5895485938063039,105,0.185372557135634,3,20.479120971119265,0,0.776595744680851
