qid,doc_id,query,relevance,bm25_score,tfidf_cosine,query_term_coverage,title_match_score,body_match_score,doc_length,doc_pagerank,doc_freshness_days,avg_click_rate,query_length,query_idf_sum,is_navigational
q0000,d0000_0000,machine learning tutorial,3,12.195859245384653,0.7395640986275364,1.0,0.9209393519141045,0.9966397684991423,244,0.3352181533989041,217,0.40660306975612165,3,20.479120971119265,0
q0000,d0000_0001,machine learning tutorial,3,16.562830148467047,1.0,0.8561676098756501,1.0,0.9900148178027495,444,0.4117881861061602,367,0.3845470517931198,3,20.479120971119265,0
q0000,d0000_0002,machine learning tutorial,3,22.129236742213394,1.0,1.0,1.0,1.0,378,0.6542453137080626,47,0.4615979422575496,3,20.479120971119265,0
q0000,d0000_0003,machine learning tutorial,0,0.0,0.0,0.09758891817370516,0.18581354280086057,0.108630853661039,300,0.6771689939325862,224,0.021868859672901295,3,20.479120971119265,0
q0000,d0000_0004,machine learning tutorial,2,16.04898758562091,0.680182480564445,0.7100345764701642,0.8244887231263017,0.37523550269553335,404,0.34201985080041397,79,0.23915244154399828,3,20.479120971119265,0
q0000,d0000_0005,machine learning tutorial,1,10.53978008503259,0.0,0.2831005788354671,0.3740215996095847,0.45057779960518896,713,0.3962620994803955,8,0.08709815406687661,3,20.479120971119265,0
q0000,d0000_0006,machine learning tutorial,1,1.5639213733149786,0.10667589053263718,0.19541549043309162,0.4576235193467743,0.36181848054744636,707,1.1654714429221882,150,0.195892372730067,3,20.479120971119265,0
q0000,d0000_0007,machine learning tutorial,2,10.685629569066727,0.5940558973536523,0.6094059825669172,0.3677067552694067,0.764061162823783,359,0.6674796672956687,37,0.31131978426966106,3,20.479120971119265,0
q0000,d0000_0008,machine learning tutorial,1,4.973473418490051,0.3173896911520535,0.08023316823962884,0.0,0.06879341086245283,200,0.6044249686801718,616,0.09551707792939436,3,20.479120971119265,0
q0000,d0000_0009,machine learning tutorial,3,22.950062273868348,0.8132764639980246,0.9691843663198555,0.7624944862723547,0.9321933848198876,752,0.3939494975052415,62,0.4237735602332278,3,20.479120971119265,0
q0000,d0000_0010,machine learning tutorial,1,6.955184697522144,0.22743479152057283,0.3682347650365389,0.338796369714194,0.6536891115975164,428,0.1618817984468932,79,0.15533300173050985,3,20.479120971119265,0
